property_place_id,nearby_place_id,name,address,place_type,rating,user_ratings_total
ChIJp-rJ0j87GJYRkWpcaXn8ITo,ChIJZ3MdbgA7GJYRcxrBwUtOybA,La Sazón Familiar,"Río Chamiza, Manzana 29 Casa#6, Puerto Montt",restaurant,5.0,4.0
ChIJp-rJ0j87GJYRkWpcaXn8ITo,ChIJq4UWPmw6GJYRbFkIVXh2JQg,Skylab,"General Merino Benítez 263, Puerto Montt, Puerto Montt",supermarket,4.4,306.0
ChIJp-rJ0j87GJYRkWpcaXn8ITo,ChIJ5ZpAd1I7GJYRRkDFiHFmW5s,Minimercado Rio del Este,"Población Pichi Pelluco, Río del Este 22, Puerto Montt, Puerto Montt",supermarket,,
ChIJp-rJ0j87GJYRkWpcaXn8ITo,ChIJz3zPxSw7GJYRMCrJDRTaykg,Luis Antonio Lizana Díaz,"Maratón 1008, Puerto Montt, Puerto Montt",supermarket,,
ChIJCX0pPIU6GJYRRsXgcaz33MI,ChIJ64hxWoU6GJYRSXVgabXngxo,MiniMercado Lucas,"Pasaje Lago Tepuhueico 1999, Puerto Montt, Puerto Montt",supermarket,4.9,9.0
ChIJp-rJ0j87GJYRkWpcaXn8ITo,ChIJ8Ylb7047GJYRvrCkD-vNnhs,Terraza Bistro,"Maratón 1078, Puerto Montt",restaurant,3.6,5.0
ChIJp-rJ0j87GJYRkWpcaXn8ITo,ChIJZ3MdbgA7GJYRcxrBwUtOybA,La Sazón Familiar,"Río Chamiza, Manzana 29 Casa#6, Puerto Montt",restaurant,5.0,4.0
ChIJp-rJ0j87GJYRkWpcaXn8ITo,ChIJq4UWPmw6GJYRbFkIVXh2JQg,Skylab,"General Merino Benítez 263, Puerto Montt, Puerto Montt",supermarket,4.4,306.0
ChIJp-rJ0j87GJYRkWpcaXn8ITo,ChIJ5ZpAd1I7GJYRRkDFiHFmW5s,Minimercado Rio del Este,"Población Pichi Pelluco, Río del Este 22, Puerto Montt, Puerto Montt",supermarket,,
ChIJp-rJ0j87GJYRkWpcaXn8ITo,ChIJz3zPxSw7GJYRMCrJDRTaykg,Luis Antonio Lizana Díaz,"Maratón 1008, Puerto Montt, Puerto Montt",supermarket,,
ChIJp-rJ0j87GJYRkWpcaXn8ITo,ChIJ8Ylb7047GJYRvrCkD-vNnhs,Terraza Bistro,"Maratón 1078, Puerto Montt",restaurant,3.6,5.0
ChIJp-rJ0j87GJYRkWpcaXn8ITo,ChIJZ3MdbgA7GJYRcxrBwUtOybA,La Sazón Familiar,"Río Chamiza, Manzana 29 Casa#6, Puerto Montt",restaurant,5.0,4.0
ChIJp-rJ0j87GJYRkWpcaXn8ITo,ChIJq4UWPmw6GJYRbFkIVXh2JQg,Skylab,"General Merino Benítez 263, Puerto Montt, Puerto Montt",supermarket,4.4,306.0
ChIJp-rJ0j87GJYRkWpcaXn8ITo,ChIJ5ZpAd1I7GJYRRkDFiHFmW5s,Minimercado Rio del Este,"Población Pichi Pelluco, Río del Este 22, Puerto Montt, Puerto Montt",supermarket,,
ChIJp-rJ0j87GJYRkWpcaXn8ITo,ChIJz3zPxSw7GJYRMCrJDRTaykg,Luis Antonio Lizana Díaz,"Maratón 1008, Puerto Montt, Puerto Montt",supermarket,,
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJqw_Ckfo6GJYRMkfnBxr1-1Q,Papa Johns Pizza,"Monseñor Ramon Munita 1625, Puerto Montt",restaurant,4.4,1711.0
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJn4ZvX_A6GJYRXspedjir8wA,PATAGONIA BURGER,"Monseñor Ramon Munita 1544, Puerto Montt, Puerto Montt",restaurant,4.4,397.0
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJg-E0bpU7GJYR4BFvqCWgNQo,Breko Express,"Monseñor Ramon Munita 1625, Puerto Montt",restaurant,2.3,4.0
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJQQtLblc7GJYR4coIVsvk_SI,Roof Burger,"Monseñor Ramon Munita 1600, Puerto Montt",restaurant,3.6,93.0
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJ-8VeT007GJYR7h63HvEAE2I,Stop Sandwich,"Monseñor Ramon Munita 1600, Puerto Montt",restaurant,4.8,5.0
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJ_d6GPPk7GJYRz8M_ipHbx4k,EL GRAN POLLO MUNITA,"Monseñor Ramon Munita 1600, local 14, Puerto Montt",restaurant,4.0,7.0
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJS6cmSwA7GJYRfLS7ko4s85Q,KFC,"Monseñor Ramon Munita 1600, Puerto Montt",restaurant,3.1,82.0
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJJ0jGYwA7GJYRHEahL6gpwpA,Los Pollos Amigos,"Monseñor Ramon Munita 1572, Puerto Montt",restaurant,5.0,2.0
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJeXX-GQA7GJYRkXQLht-aFJI,Los pollos primos,"Monseñor Ramon Munita 1572, Puerto Montt",restaurant,,
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJu1IFsYc7GJYRqwgU96jwjfI,El Quinto Coño,"La Tirana 1280, Puerto Montt",restaurant,3.9,12.0
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJdzDd9JgnGJYRw7rDxpD3twg,Las.Delicias de Seba,"Manihual 285, Puerta del Sol, Puerto Montt",restaurant,,
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJf-A6t_s6GJYR_oWj-OyRtd0,Yo Retiro,"Antihual 252, Puerto Montt, Puerto Montt",restaurant,,
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJMVFk-cQ7GJYRLmmz84Z_CCY,Placer De Sushi Puerto Montt,"Antihual 515, Puerto Montt, Puerto Montt",restaurant,4.4,44.0
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJAaiavfo6GJYR5p9LO9BslE0,Express de Lider,"Monseñor Ramon Munita 1625, Puerto Montt, Puerto Montt",supermarket,4.2,2538.0
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJrW1kNYs7GJYRNBlqqhv-kNM,Botilleria millaray,"Antihual 635, Puerto Montt, Puerto Montt",supermarket,5.0,1.0
EjdBdi4gQ3VhcnRhIFRlcnJhemEgMTg2MCwgUHVlcnRvIE1vbnR0LCBMb3MgTGFnb3MsIENoaWxlIjESLwoUChIJMT7VY-M6GJYRqZnWr3_s1Y4QxA4qFAoSCd9uOp7kOhiWEYAbmd62OpDk,ChIJdzDd9JgnGJYRw7rDxpD3twg,Las.Delicias de Seba,"Manihual 285, Puerta del Sol, Puerto Montt",restaurant,,
EjdBdi4gQ3VhcnRhIFRlcnJhemEgMTg2MCwgUHVlcnRvIE1vbnR0LCBMb3MgTGFnb3MsIENoaWxlIjESLwoUChIJMT7VY-M6GJYRqZnWr3_s1Y4QxA4qFAoSCd9uOp7kOhiWEYAbmd62OpDk,ChIJs_9U2_87GJYRk5ZmfWmvDIY,Minimarket Samy,"Villa, Antihual 1215, Puerto Montt",supermarket,,
ChIJW4XJjeo7GJYRb7ZJ0e-kjRY,ChIJ58iTv5I6GJYRrcsZM3tfMUE,Pan con Chancho,"Volcán Hornopirén 1728 local 2, Puerto Montt",restaurant,4.8,62.0
ChIJW4XJjeo7GJYRb7ZJ0e-kjRY,ChIJ79uLWAA7GJYRbJO3cXf_UaE,Casa Oriental Chinese Food,"Avenida Austral 1828, Puerto Montt",restaurant,5.0,9.0
ChIJW4XJjeo7GJYRb7ZJ0e-kjRY,ChIJMxzwlZI6GJYRPzQGduIQihc,Unimarc,"Volcán Hornopirén, Puerto Montt",supermarket,4.0,589.0
ChIJW4XJjeo7GJYRb7ZJ0e-kjRY,ChIJeVtAvpI6GJYRBdskha6_8b4,LOS VOLCANES,"LOS VOLCANES N° 585, Puerto Montt",supermarket,4.3,4.0
ChIJCX0pPIU6GJYRRsXgcaz33MI,ChIJ64hxWoU6GJYRSXVgabXngxo,MiniMercado Lucas,"Pasaje Lago Tepuhueico 1999, Puerto Montt, Puerto Montt",supermarket,4.9,9.0
ChIJB_QgaU06GJYR38mleVrxo4Y,ChIJOU7iWVQ6GJYR4uwnAUlMTuQ,Mei Sushi Centro,"Guillermo Gallardo 488, Puerto Montt",restaurant,4.3,399.0
ChIJB_QgaU06GJYR38mleVrxo4Y,ChIJwWTDpVM6GJYR8Lau3fDbhXk,Subway,"Guillermo Gallardo 211, Puerto Montt",restaurant,4.0,1983.0
ChIJB_QgaU06GJYR38mleVrxo4Y,ChIJRSRGAVM6GJYRqY99wPFwgTM,Juan Maestro,"Urmeneta 580 Local 303-304, Puerto Montt",restaurant,3.3,15.0
ChIJB_QgaU06GJYR38mleVrxo4Y,ChIJ5QogZVE6GJYRxbbkKEXOVlY,Telepizza,"Benavente 350 056, Puerto Montt, Puerto Montt",restaurant,3.9,517.0
ChIJB_QgaU06GJYR38mleVrxo4Y,ChIJ-bf3z1M6GJYRicpU6fmEPj4,Administradora Restaurantes Bgl,"Rancagua 235, Puerto Montt, Puerto Montt",restaurant,3.0,1.0
ChIJB_QgaU06GJYR38mleVrxo4Y,ChIJ69lhwlM6GJYRChWsV-GaVkQ,Soc Gastronomica y Turistica Barde la Esquina,"Rancagua 245, Puerto Montt, Puerto Montt",restaurant,3.0,1.0
